		आङ्ग्ले	संस्कृते	सङ्ख्या (प्रातिपदिकम्)	पुंलिङ्गम्	स्त्रीलिङ्गम्	नपुंसकलिङ्गम्	सङ्ख्यानम् (प्रातिपदिकम्)	सङ्ख्यानम् (पुंलिङ्गम्)	सङ्ख्यानम् (स्त्रीलिङ्गम्)	सङ्ख्यानम् (नपुंसकलिङ्गम्)	सङ्ख्यानम्-तम (प्रातिपदिकम्)	सङ्ख्यानम्-तम (पुंलिङ्गम्)	सङ्ख्यानम्-तम (स्त्रीलिङ्गम्)	सङ्ख्यानम्-तम (नपुंसकलिङ्गम्)			
	265	265	265	पञ्चषष्ट्यधिकद्विशत			पञ्चषष्ट्यधिकद्विशतम्					पञ्चषष्ट्यधिकद्विशततम	पञ्चषष्ट्यधिकद्विशततमः	पञ्चषष्ट्यधिकद्विशततमी	पञ्चषष्ट्यधिकद्विशततमम्			
	266	266	266	षट्षष्ट्यधिकद्विशत			षट्षष्ट्यधिकद्विशतम्					षट्षष्ट्यधिकद्विशततम	षट्षष्ट्यधिकद्विशततमः	षट्षष्ट्यधिकद्विशततमी	षट्षष्ट्यधिकद्विशततमम्			
	267	267	267	सप्तषष्ट्यधिकद्विशत			सप्तषष्ट्यधिकद्विशतम्					सप्तषष्ट्यधिकद्विशततम	सप्तषष्ट्यधिकद्विशततमः	सप्तषष्ट्यधिकद्विशततमी	सप्तषष्ट्यधिकद्विशततमम्			
*	268*	268	268	अष्ट/अष्टषष्ट्यधिकद्विशत			अष्ट/अष्टषष्ट्यधिकद्विशतम्					अष्ट/अष्टषष्ट्यधिकद्विशततम	अष्ट/अष्टषष्ट्यधिकद्विशततमः	अष्ट/अष्टषष्ट्यधिकद्विशततमी	अष्ट/अष्टषष्ट्यधिकद्विशततमम्			
*	269*	269	269	ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकद्विशत			ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकद्विशतम्					ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकद्विशततम	ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकद्विशततमः	ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकद्विशततमी	ऊन/एकोन/एकान्न/एकाद्नसप्तत्यधिकद्विशततमम्			
	270	270	270	सप्तत्यधिकद्विशत			सप्तत्यधिकद्विशतम्					सप्तत्यधिकद्विशततम	सप्तत्यधिकद्विशततमः	सप्तत्यधिकद्विशततमी	सप्तत्यधिकद्विशततमम्			
	271	271	271	एकसप्तत्यधिकद्विशत 			एकसप्तत्यधिकद्विशतम् 					एकसप्तत्यधिकद्विशततम	एकसप्तत्यधिकद्विशततमः	एकसप्तत्यधिकद्विशततमी	एकसप्तत्यधिकद्विशततमम्			
*	272*	272	272	द्वि/द्वासप्तत्यधिकद्विशत 			द्वि/द्वासप्तत्यधिकद्विशतम् 					द्वि/द्वासप्तत्यधिकद्विशततम	द्वि/द्वासप्तत्यधिकद्विशततमः	द्वि/द्वासप्तत्यधिकद्विशततमी	द्वि/द्वासप्तत्यधिकद्विशततमम्			
*	273*	273	273	त्रि/त्रयः/त्रयस्सप्तत्यधिकद्विशत 			त्रि/त्रयः/त्रयस्सप्तत्यधिकद्विशतम् 					त्रि/त्रयः/त्रयस्सप्तत्यधिकद्विशततम	त्रि/त्रयः/त्रयस्सप्तत्यधिकद्विशततमः	त्रि/त्रयः/त्रयस्सप्तत्यधिकद्विशततमी	त्रि/त्रयः/त्रयस्सप्तत्यधिकद्विशततमम्			
	274	274	274	चतुःसप्तत्यधिकद्विशत 			चतुःसप्तत्यधिकद्विशतम् 					चतुःसप्तत्यधिकद्विशततम	चतुःसप्तत्यधिकद्विशततमः	चतुःसप्तत्यधिकद्विशततमी	चतुःसप्तत्यधिकद्विशततमम्			
	275	275	275	पञ्चसप्तत्यधिकद्विशत 			पञ्चसप्तत्यधिकद्विशतम् 					पञ्चसप्तत्यधिकद्विशततम	पञ्चसप्तत्यधिकद्विशततमः	पञ्चसप्तत्यधिकद्विशततमी	पञ्चसप्तत्यधिकद्विशततमम्			
	276	276	276	षट्सप्तत्यधिकद्विशत			षट्सप्तत्यधिकद्विशतम्					षट्सप्तत्यधिकद्विशततम	षट्सप्तत्यधिकद्विशततमः	षट्सप्तत्यधिकद्विशततमी	षट्सप्तत्यधिकद्विशततमम्			
	277	277	277	सप्तसप्तत्यधिकद्विशत			सप्तसप्तत्यधिकद्विशतम्					सप्तसप्तत्यधिकद्विशततम	सप्तसप्तत्यधिकद्विशततमः	सप्तसप्तत्यधिकद्विशततमी	सप्तसप्तत्यधिकद्विशततमम्			
*	278*	278	278	अष्ट/अष्टसप्तत्यधिकद्विशत			अष्ट/अष्टसप्तत्यधिकद्विशतम्					अष्ट/अष्टसप्तत्यधिकद्विशततम	अष्ट/अष्टसप्तत्यधिकद्विशततमः	अष्ट/अष्टसप्तत्यधिकद्विशततमी	अष्ट/अष्टसप्तत्यधिकद्विशततमम्			
*	279*	279	279	ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकद्विशत			ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकद्विशतम्					ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकद्विशततम	ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकद्विशततमः	ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकद्विशततमी	ऊन/एकोन/एकान्न/एकाद्नाशीत्यधिकद्विशततमम्			
	280	280	280	अशीत्यधिकद्विशत			अशीत्यधिकद्विशतम्					अशीत्यधिकद्विशततम	अशीत्यधिकद्विशततमः	अशीत्यधिकद्विशततमी	अशीत्यधिकद्विशततमम्			
	281	281	281	एकाशीत्यधिकद्विशत			एकाशीत्यधिकद्विशतम्					एकाशीत्यधिकद्विशततम	एकाशीत्यधिकद्विशततमः	एकाशीत्यधिकद्विशततमी	एकाशीत्यधिकद्विशततमम्			
*	282*	282	282	द्व्यशीत्यधिकद्विशत			द्व्यशीत्यधिकद्विशतम्					द्व्यशीत्यधिकद्विशततम	द्व्यशीत्यधिकद्विशततमः	द्व्यशीत्यधिकद्विशततमी	द्व्यशीत्यधिकद्विशततमम्			
*	283*	283	283	त्र्यशीत्यधिकद्विशत			त्र्यशीत्यधिकद्विशतम्					त्र्यशीत्यधिकद्विशततम	त्र्यशीत्यधिकद्विशततमः	त्र्यशीत्यधिकद्विशततमी	त्र्यशीत्यधिकद्विशततमम्			
	284	284	284	चतुरशीत्यधिकद्विशत			चतुरशीत्यधिकद्विशतम्					चतुरशीत्यधिकद्विशततम	चतुरशीत्यधिकद्विशततमः	चतुरशीत्यधिकद्विशततमी	चतुरशीत्यधिकद्विशततमम्			
	285	285	285	पञ्चाशीत्यधिकद्विशत			पञ्चाशीत्यधिकद्विशतम्					पञ्चाशीत्यधिकद्विशततम	पञ्चाशीत्यधिकद्विशततमः	पञ्चाशीत्यधिकद्विशततमी	पञ्चाशीत्यधिकद्विशततमम्			
	286	286	286	षडशीत्यधिकद्विशत			षडशीत्यधिकद्विशतम्					षडशीत्यधिकद्विशततम	षडशीत्यधिकद्विशततमः	षडशीत्यधिकद्विशततमी	षडशीत्यधिकद्विशततमम्			
	287	287	287	सप्ताशीत्यधिकद्विशत			सप्ताशीत्यधिकद्विशतम्					सप्ताशीत्यधिकद्विशततम	सप्ताशीत्यधिकद्विशततमः	सप्ताशीत्यधिकद्विशततमी	सप्ताशीत्यधिकद्विशततमम्			
*	288*	288	288	अष्टाशीत्यधिकद्विशत			अष्टाशीत्यधिकद्विशतम्					अष्टाशीत्यधिकद्विशततम	अष्टाशीत्यधिकद्विशततमः	अष्टाशीत्यधिकद्विशततमी	अष्टाशीत्यधिकद्विशततमम्			
*	289*	289	289	ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकद्विशत			ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकद्विशतम्					ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकद्विशततम	ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकद्विशततमः	ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकद्विशततमी	ऊन/एकोन/एकान्न/एकाद्ननवत्यधिकद्विशततमम्			
	290	290	290	नवत्यधिकद्विशत			नवत्यधिकद्विशतम्					नवत्यधिकद्विशततम	नवत्यधिकद्विशततमः	नवत्यधिकद्विशततमी	नवत्यधिकद्विशततमम्			
	291	291	291	एकनवत्यधिकद्विशत			एकनवत्यधिकद्विशतम्					एकनवत्यधिकद्विशततम	एकनवत्यधिकद्विशततमः	एकनवत्यधिकद्विशततमी	एकनवत्यधिकद्विशततमम्			
*	292*	292	292	द्वि/द्वानवत्यधिकद्विशत			द्वि/द्वानवत्यधिकद्विशतम्					द्वि/द्वानवत्यधिकद्विशततम	द्वि/द्वानवत्यधिकद्विशततमः	द्वि/द्वानवत्यधिकद्विशततमी	द्वि/द्वानवत्यधिकद्विशततमम्			
*	293*	293	293	त्रिनवत्यधिकद्विशत			त्रिनवत्यधिकद्विशतम्					त्रिनवत्यधिकद्विशततम	त्रिनवत्यधिकद्विशततमः	त्रिनवत्यधिकद्विशततमी	त्रिनवत्यधिकद्विशततमम्			
	294	294	294	चतुर्नवत्यधिकद्विशत			चतुर्नवत्यधिकद्विशतम्					चतुर्नवत्यधिकद्विशततम	चतुर्नवत्यधिकद्विशततमः	चतुर्नवत्यधिकद्विशततमी	चतुर्नवत्यधिकद्विशततमम्			
	295	295	295	पञ्चनवत्यधिकद्विशत			पञ्चनवत्यधिकद्विशतम्					पञ्चनवत्यधिकद्विशततम	पञ्चनवत्यधिकद्विशततमः	पञ्चनवत्यधिकद्विशततमी	पञ्चनवत्यधिकद्विशततमम्			
	296	296	296	षण्णवत्यधिकद्विशत			षण्णवत्यधिकद्विशतम्					षण्णवत्यधिकद्विशततम	षण्णवत्यधिकद्विशततमः	षण्णवत्यधिकद्विशततमी	षण्णवत्यधिकद्विशततमम्			
	297	297	297	सप्तनवत्यधिकद्विशत			सप्तनवत्यधिकद्विशतम्					सप्तनवत्यधिकद्विशततम	सप्तनवत्यधिकद्विशततमः	सप्तनवत्यधिकद्विशततमी	सप्तनवत्यधिकद्विशततमम्			
*	298*	298	298	अष्ट/अष्टनवत्यधिकद्विशत			अष्ट/अष्टनवत्यधिकद्विशतम्					अष्ट/अष्टनवत्यधिकद्विशततम	अष्ट/अष्टनवत्यधिकद्विशततमः	अष्ट/अष्टनवत्यधिकद्विशततमी	अष्ट/अष्टनवत्यधिकद्विशततमम्			
*	299*	299	299	नवनवत्यधिकद्विशत			नवनवत्यधिकद्विशतम्					नवनवत्यधिकद्विशततम	नवनवत्यधिकद्विशततमः	नवनवत्यधिकद्विशततमी	नवनवत्यधिकद्विशततमम्			
	300	300	300	त्रिशत			त्रिशतम्					त्रिशततम	त्रिशततमः	त्रिशततमी	त्रिशततमम्			
	301	301	301	एकाधिकत्रिशत			एकाधिकत्रिशतम्					एकाधिकत्रिशततम	एकाधिकत्रिशततमः	एकाधिकत्रिशततमी	एकाधिकत्रिशततमम्			
*	302*	302	302	द्व्यधिकत्रिशत			द्व्यधिकत्रिशतम्					द्व्यधिकत्रिशततम	द्व्यधिकत्रिशततमः	द्व्यधिकत्रिशततमी	द्व्यधिकत्रिशततमम्			
*	303*	303	303	त्र्यधिकत्रिशत			त्र्यधिकत्रिशतम्					त्र्यधिकत्रिशततम	त्र्यधिकत्रिशततमः	त्र्यधिकत्रिशततमी	त्र्यधिकत्रिशततमम्			
	304	304	304	चतुरधिकत्रिशत			चतुरधिकत्रिशतम्					चतुरधिकत्रिशततम	चतुरधिकत्रिशततमः	चतुरधिकत्रिशततमी	चतुरधिकत्रिशततमम्			
	305	305	305	पञ्चाधिकत्रिशत			पञ्चाधिकत्रिशतम्					पञ्चाधिकत्रिशततम	पञ्चाधिकत्रिशततमः	पञ्चाधिकत्रिशततमी	पञ्चाधिकत्रिशततमम्			
	306	306	306	षडधिकत्रिशत			षडधिकत्रिशतम्					षडधिकत्रिशततम	षडधिकत्रिशततमः	षडधिकत्रिशततमी	षडधिकत्रिशततमम्			
	307	307	307	सप्ताधिकत्रिशत			सप्ताधिकत्रिशतम्					सप्ताधिकत्रिशततम	सप्ताधिकत्रिशततमः	सप्ताधिकत्रिशततमी	सप्ताधिकत्रिशततमम्			
*	308*	308	308	अष्टाधिकत्रिशत			अष्टाधिकत्रिशतम्					अष्टाधिकत्रिशततम	अष्टाधिकत्रिशततमः	अष्टाधिकत्रिशततमी	अष्टाधिकत्रिशततमम्			
*	309*	309	309	नवाधिकत्रिशत			नवाधिकत्रिशतम्					नवाधिकत्रिशततम	नवाधिकत्रिशततमः	नवाधिकत्रिशततमी	नवाधिकत्रिशततमम्			
	310	310	310	दशाधिकत्रिशत			दशाधिकत्रिशतम्					दशाधिकत्रिशततम	दशाधिकत्रिशततमः	दशाधिकत्रिशततमी	दशाधिकत्रिशततमम्			
	311	311	311	एकादशाधिकत्रिशत			एकादशाधिकत्रिशतम्					एकादशाधिकत्रिशततम	एकादशाधिकत्रिशततमः	एकादशाधिकत्रिशततमी	एकादशाधिकत्रिशततमम्			
*	312*	312	312	द्वादशाधिकत्रिशत			द्वादशाधिकत्रिशतम्					द्वादशाधिकत्रिशततम	द्वादशाधिकत्रिशततमः	द्वादशाधिकत्रिशततमी	द्वादशाधिकत्रिशततमम्			
*	313*	313	313	त्रयोदशाधिकत्रिशत			त्रयोदशाधिकत्रिशतम्					त्रयोदशाधिकत्रिशततम	त्रयोदशाधिकत्रिशततमः	त्रयोदशाधिकत्रिशततमी	त्रयोदशाधिकत्रिशततमम्			
	314	314	314	चतुर्दशाधिकत्रिशत			चतुर्दशाधिकत्रिशतम्					चतुर्दशाधिकत्रिशततम	चतुर्दशाधिकत्रिशततमः	चतुर्दशाधिकत्रिशततमी	चतुर्दशाधिकत्रिशततमम्			
	315	315	315	पञ्चदशाधिकत्रिशत			पञ्चदशाधिकत्रिशतम्					पञ्चदशाधिकत्रिशततम	पञ्चदशाधिकत्रिशततमः	पञ्चदशाधिकत्रिशततमी	पञ्चदशाधिकत्रिशततमम्			
	316	316	316	षोडशाधिकत्रिशत			षोडशाधिकत्रिशतम्					षोडशाधिकत्रिशततम	षोडशाधिकत्रिशततमः	षोडशाधिकत्रिशततमी	षोडशाधिकत्रिशततमम्			
	317	317	317	सप्तदशाधिकत्रिशत			सप्तदशाधिकत्रिशतम्					सप्तदशाधिकत्रिशततम	सप्तदशाधिकत्रिशततमः	सप्तदशाधिकत्रिशततमी	सप्तदशाधिकत्रिशततमम्			
*	318*	318	318	अष्टादशाधिकत्रिशत			अष्टादशाधिकत्रिशतम्					अष्टादशाधिकत्रिशततम	अष्टादशाधिकत्रिशततमः	अष्टादशाधिकत्रिशततमी	अष्टादशाधिकत्रिशततमम्			
*	319*	319	319	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकत्रिशत			ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकत्रिशतम्					ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकत्रिशततम	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकत्रिशततमः	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकत्रिशततमी	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकत्रिशततमम्			
	320	320	320	विंशत्यधिकत्रिशत			विंशत्यधिकत्रिशतम्					विंशत्यधिकत्रिशततम	विंशत्यधिकत्रिशततमः	विंशत्यधिकत्रिशततमी	विंशत्यधिकत्रिशततमम्			
	321	321	321	एकविंशत्यधिकत्रिशत			एकविंशत्यधिकत्रिशतम्					एकविंशत्यधिकत्रिशततम	एकविंशत्यधिकत्रिशततमः	एकविंशत्यधिकत्रिशततमी	एकविंशत्यधिकत्रिशततमम्			
*	322*	322	322	द्वाविंशत्यधिकत्रिशत			द्वाविंशत्यधिकत्रिशतम्					द्वाविंशत्यधिकत्रिशततम	द्वाविंशत्यधिकत्रिशततमः	द्वाविंशत्यधिकत्रिशततमी	द्वाविंशत्यधिकत्रिशततमम्			
*	323*	323	323	त्रयोविंशत्यधिकत्रिशत			त्रयोविंशत्यधिकत्रिशतम्					त्रयोविंशत्यधिकत्रिशततम	त्रयोविंशत्यधिकत्रिशततमः	त्रयोविंशत्यधिकत्रिशततमी	त्रयोविंशत्यधिकत्रिशततमम्			
	324	324	324	चतुर्विंशत्यधिकत्रिशत			चतुर्विंशत्यधिकत्रिशतम्					चतुर्विंशत्यधिकत्रिशततम	चतुर्विंशत्यधिकत्रिशततमः	चतुर्विंशत्यधिकत्रिशततमी	चतुर्विंशत्यधिकत्रिशततमम्			
	325	325	325	पञ्चविंशत्यधिकत्रिशत			पञ्चविंशत्यधिकत्रिशतम्					पञ्चविंशत्यधिकत्रिशततम	पञ्चविंशत्यधिकत्रिशततमः	पञ्चविंशत्यधिकत्रिशततमी	पञ्चविंशत्यधिकत्रिशततमम्			
	326	326	326	षड्विंशत्यधिकत्रिशत			षड्विंशत्यधिकत्रिशतम्					षड्विंशत्यधिकत्रिशततम	षड्विंशत्यधिकत्रिशततमः	षड्विंशत्यधिकत्रिशततमी	षड्विंशत्यधिकत्रिशततमम्			
	327	327	327	सप्तविंशत्यधिकत्रिशत			सप्तविंशत्यधिकत्रिशतम्					सप्तविंशत्यधिकत्रिशततम	सप्तविंशत्यधिकत्रिशततमः	सप्तविंशत्यधिकत्रिशततमी	सप्तविंशत्यधिकत्रिशततमम्			
*	328*	328	328	अष्टाविंशत्यधिकत्रिशत			अष्टाविंशत्यधिकत्रिशतम्					अष्टाविंशत्यधिकत्रिशततम	अष्टाविंशत्यधिकत्रिशततमः	अष्टाविंशत्यधिकत्रिशततमी	अष्टाविंशत्यधिकत्रिशततमम्			
*	329*	329	329	ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकत्रिशत			ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकत्रिशतम्					ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकत्रिशततम	ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकत्रिशततमः	ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकत्रिशततमी	ऊन/एकोन/एकान्न/एकाद्नत्रिंशत्यधिकत्रिशततमम्			
	330	330	330	त्रिंशत्यधिकत्रिशत			त्रिंशत्यधिकत्रिशतम्					त्रिंशत्यधिकत्रिशततम	त्रिंशत्यधिकत्रिशततमः	त्रिंशत्यधिकत्रिशततमी	त्रिंशत्यधिकत्रिशततमम्			
	331	331	331	एकत्रिंशत्यधिकत्रिशत			एकत्रिंशत्यधिकत्रिशतम्					एकत्रिंशत्यधिकत्रिशततम	एकत्रिंशत्यधिकत्रिशततमः	एकत्रिंशत्यधिकत्रिशततमी	एकत्रिंशत्यधिकत्रिशततमम्			
*	332*	332	332	द्वात्रिंशत्यधिकत्रिशत			द्वात्रिंशत्यधिकत्रिशतम्					द्वात्रिंशत्यधिकत्रिशततम	द्वात्रिंशत्यधिकत्रिशततमः	द्वात्रिंशत्यधिकत्रिशततमी	द्वात्रिंशत्यधिकत्रिशततमम्			
*	333*	333	333	त्रयस्त्रिंशत्यधिकत्रिशत			त्रयस्त्रिंशत्यधिकत्रिशतम्					त्रयस्त्रिंशत्यधिकत्रिशततम	त्रयस्त्रिंशत्यधिकत्रिशततमः	त्रयस्त्रिंशत्यधिकत्रिशततमी	त्रयस्त्रिंशत्यधिकत्रिशततमम्			
	334	334	334	चतुस्त्रिंशत्यधिकत्रिशत			चतुस्त्रिंशत्यधिकत्रिशतम्					चतुस्त्रिंशत्यधिकत्रिशततम	चतुस्त्रिंशत्यधिकत्रिशततमः	चतुस्त्रिंशत्यधिकत्रिशततमी	चतुस्त्रिंशत्यधिकत्रिशततमम्			
	335	335	335	पञ्चत्रिंशत्यधिकत्रिशत			पञ्चत्रिंशत्यधिकत्रिशतम्					पञ्चत्रिंशत्यधिकत्रिशततम	पञ्चत्रिंशत्यधिकत्रिशततमः	पञ्चत्रिंशत्यधिकत्रिशततमी	पञ्चत्रिंशत्यधिकत्रिशततमम्			
	336	336	336	षट्त्रिंशत्यधिकत्रिशत			षट्त्रिंशत्यधिकत्रिशतम्					षट्त्रिंशत्यधिकत्रिशततम	षट्त्रिंशत्यधिकत्रिशततमः	षट्त्रिंशत्यधिकत्रिशततमी	षट्त्रिंशत्यधिकत्रिशततमम्			
	337	337	337	सप्तत्रिंशत्यधिकत्रिशत			सप्तत्रिंशत्यधिकत्रिशतम्					सप्तत्रिंशत्यधिकत्रिशततम	सप्तत्रिंशत्यधिकत्रिशततमः	सप्तत्रिंशत्यधिकत्रिशततमी	सप्तत्रिंशत्यधिकत्रिशततमम्			
*	338*	338	338	अष्टात्रिंशत्यधिकत्रिशत			अष्टात्रिंशत्यधिकत्रिशतम्					अष्टात्रिंशत्यधिकत्रिशततम	अष्टात्रिंशत्यधिकत्रिशततमः	अष्टात्रिंशत्यधिकत्रिशततमी	अष्टात्रिंशत्यधिकत्रिशततमम्			
*	339*	339	339	ऊन/एकोन/एकान्न/एकाद्नचत्वारिंशत्यधिकत्रिशत			ऊन/एकोन/एकान्न/एकाद्नचत्वारिंशत्यधिकत्रिशतम्					ऊन/एकोन/एकान्न/एकाद्नचत्वारिंशत्यधिकत्रिशततम	ऊन/एकोन/एकान्न/एकाद्नचत्वारिंशत्यधिकत्रिशततमः	ऊन/एकोन/एकान्न/एकाद्नचत्वारिंशत्यधिकत्रिशततमी	ऊन/एकोन/एकान्न/एकाद्नचत्वारिंशत्यधिकत्रिशततमम्			
	340	340	340	चत्वारिंशत्यधिकत्रिशत			चत्वारिंशत्यधिकत्रिशतम्					चत्वारिंशत्यधिकत्रिशततम	चत्वारिंशत्यधिकत्रिशततमः	चत्वारिंशत्यधिकत्रिशततमी	चत्वारिंशत्यधिकत्रिशततमम्			
	341	341	341	एकचत्वारिंशत्यधिकत्रिशत			एकचत्वारिंशत्यधिकत्रिशतम्					एकचत्वारिंशत्यधिकत्रिशततम	एकचत्वारिंशत्यधिकत्रिशततमः	एकचत्वारिंशत्यधिकत्रिशततमी	एकचत्वारिंशत्यधिकत्रिशततमम्			
*	342*	342	342	द्वि/द्वाचत्वारिंशत्यधिकत्रिशत			द्वि/द्वाचत्वारिंशत्यधिकत्रिशतम्					द्वि/द्वाचत्वारिंशत्यधिकत्रिशततम	द्वि/द्वाचत्वारिंशत्यधिकत्रिशततमः	द्वि/द्वाचत्वारिंशत्यधिकत्रिशततमी	द्वि/द्वाचत्वारिंशत्यधिकत्रिशततमम्			
*	343*	343	343	त्रि/त्रयश्चत्वारिंशत्यधिकत्रिशत			त्रि/त्रयश्चत्वारिंशत्यधिकत्रिशतम्					त्रि/त्रयश्चत्वारिंशत्यधिकत्रिशततम	त्रि/त्रयश्चत्वारिंशत्यधिकत्रिशततमः	त्रि/त्रयश्चत्वारिंशत्यधिकत्रिशततमी	त्रि/त्रयश्चत्वारिंशत्यधिकत्रिशततमम्			
	344	344	344	चतुश्चत्वारिंशत्यधिकत्रिशत			चतुश्चत्वारिंशत्यधिकत्रिशतम्					चतुश्चत्वारिंशत्यधिकत्रिशततम	चतुश्चत्वारिंशत्यधिकत्रिशततमः	चतुश्चत्वारिंशत्यधिकत्रिशततमी	चतुश्चत्वारिंशत्यधिकत्रिशततमम्			
	345	345	345	पञ्चचत्वारिंशत्यधिकत्रिशत			पञ्चचत्वारिंशत्यधिकत्रिशतम्					पञ्चचत्वारिंशत्यधिकत्रिशततम	पञ्चचत्वारिंशत्यधिकत्रिशततमः	पञ्चचत्वारिंशत्यधिकत्रिशततमी	पञ्चचत्वारिंशत्यधिकत्रिशततमम्			
	346	346	346	षट्चत्वारिंशत्यधिकत्रिशत			षट्चत्वारिंशत्यधिकत्रिशतम्					षट्चत्वारिंशत्यधिकत्रिशततम	षट्चत्वारिंशत्यधिकत्रिशततमः	षट्चत्वारिंशत्यधिकत्रिशततमी	षट्चत्वारिंशत्यधिकत्रिशततमम्			
	347	347	347	सप्तचत्वारिंशत्यधिकत्रिशत			सप्तचत्वारिंशत्यधिकत्रिशतम्					सप्तचत्वारिंशत्यधिकत्रिशततम	सप्तचत्वारिंशत्यधिकत्रिशततमः	सप्तचत्वारिंशत्यधिकत्रिशततमी	सप्तचत्वारिंशत्यधिकत्रिशततमम्			
*	348*	348	348	अष्ट/अष्टचत्वारिंशत्यधिकत्रिशत			अष्ट/अष्टचत्वारिंशत्यधिकत्रिशतम्					अष्ट/अष्टचत्वारिंशत्यधिकत्रिशततम	अष्ट/अष्टचत्वारिंशत्यधिकत्रिशततमः	अष्ट/अष्टचत्वारिंशत्यधिकत्रिशततमी	अष्ट/अष्टचत्वारिंशत्यधिकत्रिशततमम्			
*	349*	349	349	ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकत्रिशत			ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकत्रिशतम्					ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकत्रिशततम	ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकत्रिशततमः	ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकत्रिशततमी	ऊन/एकोन/एकान्न/एकाद्नपञ्चाशत्यधिकत्रिशततमम्			
	350	350	350	पञ्चाशत्यधिकत्रिशत			पञ्चाशत्यधिकत्रिशतम्					पञ्चाशत्यधिकत्रिशततम	पञ्चाशत्यधिकत्रिशततमः	पञ्चाशत्यधिकत्रिशततमी	पञ्चाशत्यधिकत्रिशततमम्			
	351	351	351	एकपञ्चाशत्यधिकत्रिशत			एकपञ्चाशत्यधिकत्रिशतम्					एकपञ्चाशत्यधिकत्रिशततम	एकपञ्चाशत्यधिकत्रिशततमः	एकपञ्चाशत्यधिकत्रिशततमी	एकपञ्चाशत्यधिकत्रिशततमम्			
*	352*	352	352	द्वि/द्वापञ्चाशत्यधिकत्रिशत			द्वि/द्वापञ्चाशत्यधिकत्रिशतम्					द्वि/द्वापञ्चाशत्यधिकत्रिशततम	द्वि/द्वापञ्चाशत्यधिकत्रिशततमः	द्वि/द्वापञ्चाशत्यधिकत्रिशततमी	द्वि/द्वापञ्चाशत्यधिकत्रिशततमम्			
*	353*	353	353	त्रि/त्रयःपञ्चाशत्यधिकत्रिशत			त्रि/त्रयःपञ्चाशत्यधिकत्रिशतम्					त्रि/त्रयःपञ्चाशत्यधिकत्रिशततम	त्रि/त्रयःपञ्चाशत्यधिकत्रिशततमः	त्रि/त्रयःपञ्चाशत्यधिकत्रिशततमी	त्रि/त्रयःपञ्चाशत्यधिकत्रिशततमम्			
	354	354	354	चतुःपञ्चाशत्यधिकत्रिशत			चतुःपञ्चाशत्यधिकत्रिशतम्					चतुःपञ्चाशत्यधिकत्रिशततम	चतुःपञ्चाशत्यधिकत्रिशततमः	चतुःपञ्चाशत्यधिकत्रिशततमी	चतुःपञ्चाशत्यधिकत्रिशततमम्			
	355	355	355	पञ्चपञ्चाशत्यधिकत्रिशत			पञ्चपञ्चाशत्यधिकत्रिशतम्					पञ्चपञ्चाशत्यधिकत्रिशततम	पञ्चपञ्चाशत्यधिकत्रिशततमः	पञ्चपञ्चाशत्यधिकत्रिशततमी	पञ्चपञ्चाशत्यधिकत्रिशततमम्			
	356	356	356	षट्पञ्चाशत्यधिकत्रिशत			षट्पञ्चाशत्यधिकत्रिशतम्					षट्पञ्चाशत्यधिकत्रिशततम	षट्पञ्चाशत्यधिकत्रिशततमः	षट्पञ्चाशत्यधिकत्रिशततमी	षट्पञ्चाशत्यधिकत्रिशततमम्			
